"Scenario","Type","k","tau2","bias_type","true_mu","Method","Estimate","SE","CI_Lower","CI_Upper","Covered","k_final"
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-2.25463632771029,1.37258114043266,-4.94484592881722,0.435573273396642,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-2.25463632771029,1.09483718701424,-4.73133011241239,0.222057456991816,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-2.27326661208779,1.37941493780119,-4.97687020991469,0.430336985739102,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-2.19705380522654,1.54243381395607,-5.2201685291172,0.826060918664124,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-2.19705380522654,1.69076430992799,-6.02182839953369,1.62772078908062,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-2.21978189027215,1.55579403388301,-5.26908216404514,0.829518383500841,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.594400413202881,1.44952383118183,-3.43541491705178,2.24661409064602,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.594400413202881,1.35881587563378,-3.66825547919175,2.47945465278599,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.617571968832662,1.45237568482112,-3.46417600310375,2.22903206543842,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.000567845033336123,1.51712427092258,-2.97407677611319,2.97294108604651,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.000567845033336123,1.4729249441121,-3.33255555762067,3.331419867554,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",0.124156344618989,1.51642351838499,-2.84797913672509,3.09629182596307,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",1.51358091415085,1.42042331612698,-1.27039762825898,4.29755945656069,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",1.51358091415085,1.42913525624076,-1.71934764236162,4.74650947066333,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",1.48391148778587,1.42162705447676,-1.30242633843634,4.27024931400807,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.368057262047114,1.3001494499646,-2.9163033584973,2.18018883440307,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.368057262047114,0.929788189324541,-2.4713842744128,1.73526975031857,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"TGEP",-0.316778736555371,1.30987362683162,-2.8840838694442,2.25052639633346,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"REML",-0.39442058037003,1.65006347703719,-3.62848556756786,2.8396444068278,TRUE,10
"Null_k10_tau0.05","null",10,0.05,"none",0,"HKSJ",-0.39442058037003,1.78805885648652,-4.43929073007577,3.65044956933571,TRUE,10
